GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	Astrocytes_ceoff	Astrocytes_ELBO_gain	Astrocytes_pval	Astrocytes_FDR	Cajal Retzius_ceoff	Cajal Retzius_ELBO_gain	Cajal Retzius_pval	Cajal Retzius_FDR	Cck-Tox_ceoff	Cck-Tox_ELBO_gain	Cck-Tox_pval	Cck-Tox_FDR	Endothelial_ceoff	Endothelial_ELBO_gain	Endothelial_pval	Endothelial_FDR	GABA_ceoff	GABA_ELBO_gain	GABA_pval	GABA_FDR	Granule immature_ceoff	Granule immature_ELBO_gain	Granule immature_pval	Granule immature_FDR	Granule mature_ceoff	Granule mature_ELBO_gain	Granule mature_pval	Granule mature_FDR	Microglia_ceoff	Microglia_ELBO_gain	Microglia_pval	Microglia_FDR	Mossy_ceoff	Mossy_ELBO_gain	Mossy_pval	Mossy_FDR	Neuroblast_ceoff	Neuroblast_ELBO_gain	Neuroblast_pval	Neuroblast_FDR	OL_ceoff	OL_ELBO_gain	OL_pval	OL_FDR	OPC_ceoff	OPC_ELBO_gain	OPC_pval	OPC_FDR	Radial Glia-like_ceoff	Radial Glia-like_ELBO_gain	Radial Glia-like_pval	Radial Glia-like_FDR	nIPC_ceoff	nIPC_ELBO_gain	nIPC_pval	nIPC_FDR
Rps7	24430	24430	9.696e-01	5.010e+00	1.253e-01	3.613e+00	-1.508e-01	1.000e+00	1.000e+00	-3.758e-01	4.083e-02	7.751e-01	1.000e+00	-6.072e-01	5.469e-02	7.409e-01	1.000e+00	5.511e-01	-7.202e-03	1.000e+00	1.000e+00	3.921e-01	-7.507e-02	1.000e+00	1.000e+00	4.137e-01	8.521e-02	6.797e-01	1.000e+00	-1.406e-01	2.048e-01	5.221e-01	8.267e-01	-2.447e-01	5.676e-03	9.151e-01	1.000e+00	1.170e-01	-6.409e-02	1.000e+00	1.000e+00	2.773e-02	1.545e+00	7.881e-02	2.779e-01	4.396e-01	1.307e+00	1.059e-01	7.432e-01	-1.361e+00	-6.866e-02	1.000e+00	1.000e+00	3.493e-01	9.507e-01	1.679e-01	1.000e+00	-1.137e+00	7.123e-02	7.059e-01	1.000e+00
Acp1	3893	3893	6.471e-01	3.995e+00	1.293e-01	3.994e+00	-8.887e-02	1.000e+00	1.000e+00	4.419e-01	-1.281e-01	1.000e+00	1.000e+00	5.319e-01	8.453e-02	6.809e-01	1.000e+00	1.017e+00	-1.535e-01	1.000e+00	1.000e+00	4.070e-01	1.752e-01	5.539e-01	9.651e-01	1.026e+00	-1.440e-01	1.000e+00	1.000e+00	-1.100e-01	3.115e-01	4.300e-01	7.352e-01	-2.508e-01	-8.856e-02	1.000e+00	1.000e+00	2.408e-01	2.684e-01	4.638e-01	8.528e-01	-5.584e-01	1.272e-01	6.141e-01	9.009e-01	3.663e-01	-6.271e-02	1.000e+00	1.000e+00	3.994e-01	2.495e-01	4.799e-01	9.806e-01	1.110e+00	-1.189e-01	1.000e+00	1.000e+00	6.776e-01	-5.045e-02	1.000e+00	1.000e+00
Dld	762	762	1.959e-01	2.156e+00	7.644e-01	2.605e-01	8.112e-02	6.871e-01	1.000e+00	1.061e+00	1.225e-01	6.206e-01	1.000e+00	2.749e+00	-2.275e-01	1.000e+00	1.000e+00	3.123e+00	1.783e+00	5.898e-02	4.077e-01	2.804e+00	7.962e-02	6.899e-01	1.000e+00	8.509e-01	4.979e+00	1.601e-03	6.084e-02	-8.125e-01	-3.060e-01	1.000e+00	1.000e+00	-1.836e-01	-1.253e-01	1.000e+00	1.000e+00	2.712e+00	6.025e-01	2.723e-01	7.178e-01	-7.391e-01	5.639e+00	7.841e-04	1.014e-02	1.452e+00	-2.476e-01	1.000e+00	1.000e+00	2.727e+00	1.540e-01	5.789e-01	1.000e+00	-1.207e+00	1.559e-01	5.766e-01	1.000e+00	2.755e+00	3.906e-03	9.296e-01	1.000e+00
Cbll1	433	433	4.505e-02	-1.023e+00	9.460e-01	1.189e+00	4.129e-01	3.635e-01	8.879e-01	-4.064e+00	2.715e-01	4.612e-01	1.000e+00	1.271e+00	2.447e+00	2.694e-02	8.584e-01	6.022e+00	3.532e-01	4.007e-01	8.401e-01	-3.998e+00	4.022e-01	3.698e-01	8.602e-01	4.048e-01	6.207e-01	2.652e-01	7.086e-01	2.315e-01	5.196e-01	3.080e-01	6.466e-01	-2.560e-01	-8.514e-03	1.000e+00	1.000e+00	-3.792e-01	-2.654e-01	1.000e+00	1.000e+00	-5.632e-01	7.318e-01	2.263e-01	5.529e-01	-1.573e-01	-7.880e-02	1.000e+00	1.000e+00	1.250e-01	1.128e+00	1.331e-01	7.851e-01	2.286e+00	5.613e-01	2.893e-01	1.000e+00	-4.069e+00	4.506e-01	3.425e-01	1.000e+00
Prkar2b	399	399	1.014e-01	1.080e+00	3.103e-01	5.731e+00	1.625e-01	5.687e-01	1.000e+00	2.386e+00	2.769e-02	8.139e-01	1.000e+00	-1.487e+00	1.302e-01	6.098e-01	1.000e+00	2.867e+00	1.948e-01	5.325e-01	9.340e-01	2.574e+00	2.712e-01	4.614e-01	9.226e-01	5.339e-01	5.018e-01	3.165e-01	7.731e-01	3.164e-01	4.011e-01	3.705e-01	6.848e-01	-3.678e-01	-1.508e-01	1.000e+00	1.000e+00	-8.391e-01	1.346e-01	6.039e-01	9.543e-01	-2.796e-01	1.174e-01	6.280e-01	9.024e-01	-2.088e-01	3.395e-02	7.944e-01	1.000e+00	-1.330e+00	3.038e-01	4.357e-01	9.496e-01	-9.687e-01	2.060e-03	9.488e-01	1.000e+00	2.456e+00	-7.285e-02	1.000e+00	1.000e+00
Tspan13	2686	2686	4.751e-01	4.069e+00	1.157e-01	4.265e+00	-3.232e-02	1.000e+00	1.000e+00	1.617e-01	-1.157e-01	1.000e+00	1.000e+00	3.986e-01	-9.575e-02	1.000e+00	1.000e+00	4.346e-01	1.379e-01	5.995e-01	9.593e-01	5.055e-01	-1.018e-01	1.000e+00	1.000e+00	3.326e-01	1.082e-01	6.418e-01	9.804e-01	2.529e-01	7.654e-02	6.956e-01	9.671e-01	-3.354e-01	-1.008e-01	1.000e+00	1.000e+00	2.504e-01	-6.360e-02	1.000e+00	1.000e+00	-1.325e-01	7.486e-02	6.988e-01	9.637e-01	-2.625e-01	-6.750e-02	1.000e+00	1.000e+00	-3.110e+00	9.145e-02	6.689e-01	1.000e+00	8.314e-01	-1.116e-01	1.000e+00	1.000e+00	3.331e-01	-9.215e-02	1.000e+00	1.000e+00
Bzw2	1451	1451	2.669e-01	1.642e+00	6.442e-01	-3.214e-01	5.877e-01	2.783e-01	8.135e-01	3.425e-01	2.936e-02	8.085e-01	1.000e+00	3.187e+00	-1.910e-01	1.000e+00	1.000e+00	-8.895e-01	-3.089e-01	1.000e+00	1.000e+00	-2.505e-01	-4.844e-01	1.000e+00	1.000e+00	7.059e-02	3.328e-01	4.146e-01	8.481e-01	-2.167e-01	6.985e+00	1.858e-04	6.846e-03	-7.004e-01	8.445e-01	1.937e-01	9.609e-01	3.178e+00	-3.602e-01	1.000e+00	1.000e+00	2.610e-01	5.476e+00	9.351e-04	1.142e-02	5.124e-01	1.091e-01	6.404e-01	1.000e+00	-4.693e-01	1.944e+00	4.863e-02	5.149e-01	3.319e+00	1.036e+00	1.501e-01	1.000e+00	3.407e+00	-7.690e-02	1.000e+00	1.000e+00
Lrrn3	573	573	1.396e-01	1.265e+00	1.510e+00	8.638e+00	1.927e-01	5.347e-01	9.923e-01	3.293e+00	1.859e-01	5.420e-01	1.000e+00	-1.477e+00	8.371e-01	1.957e-01	1.000e+00	3.731e+00	1.656e+00	6.877e-02	4.234e-01	1.305e+00	1.370e+00	9.785e-02	7.504e-01	3.093e+00	1.844e-01	5.437e-01	9.160e-01	9.094e-02	4.439e+00	2.888e-03	5.198e-02	-1.005e+00	5.159e-02	7.480e-01	1.000e+00	-1.743e+00	2.284e+00	3.257e-02	3.010e-01	-1.381e+00	1.968e+00	4.724e-02	1.836e-01	1.119e+00	3.160e-01	4.266e-01	1.000e+00	3.605e+00	2.720e+00	1.968e-02	3.802e-01	4.039e+00	9.013e-01	1.794e-01	1.000e+00	-2.161e+00	-4.662e-01	1.000e+00	1.000e+00
Stxbp6	2044	2044	3.113e-01	-4.290e-02	1.060e+00	7.044e+00	6.204e-01	2.653e-01	8.135e-01	1.013e+00	1.005e+00	1.562e-01	1.000e+00	4.579e+00	2.840e+00	1.716e-02	7.848e-01	-6.517e+00	-3.060e-01	1.000e+00	1.000e+00	1.017e+00	1.121e+00	1.342e-01	7.504e-01	3.944e-01	-3.539e-01	1.000e+00	1.000e+00	-1.405e-01	1.364e+00	9.860e-02	3.187e-01	-1.913e-01	2.451e-01	4.838e-01	1.000e+00	4.457e+00	1.596e+00	7.403e-02	4.365e-01	-8.639e-01	4.302e+00	3.353e-03	2.871e-02	7.126e-01	2.785e+00	1.827e-02	4.681e-01	2.177e+00	4.573e-01	3.389e-01	8.994e-01	4.983e+00	1.290e+00	1.082e-01	1.000e+00	4.569e+00	1.385e+00	9.600e-02	1.000e+00
Prkd1	1253	1253	4.369e-02	-2.001e+00	1.101e+00	-3.636e+00	8.338e+00	4.434e-05	3.791e-03	1.677e+00	1.779e-01	5.508e-01	1.000e+00	2.092e+00	-5.700e-01	1.000e+00	1.000e+00	-2.886e+00	7.275e-02	7.029e-01	1.000e+00	-2.823e+00	9.239e-01	1.740e-01	7.784e-01	1.931e+00	-6.581e-01	1.000e+00	1.000e+00	5.066e-02	3.800e+00	5.836e-03	7.921e-02	-6.983e-01	-2.321e-01	1.000e+00	1.000e+00	-2.433e+00	-5.832e-01	1.000e+00	1.000e+00	-5.205e-01	-8.919e-01	1.000e+00	1.000e+00	-9.755e-02	1.268e-01	6.146e-01	1.000e+00	2.418e+00	-9.290e-01	1.000e+00	1.000e+00	9.944e-01	-4.069e-01	1.000e+00	1.000e+00	5.202e-01	7.245e-02	7.035e-01	1.000e+00
Strn3	650	650	1.266e-01	4.031e-01	1.464e+00	5.271e+00	-2.495e-01	1.000e+00	1.000e+00	4.771e-01	-5.681e-01	1.000e+00	1.000e+00	2.359e-01	9.493e-01	1.682e-01	1.000e+00	4.734e+00	2.827e-01	4.521e-01	8.610e-01	-1.249e-01	4.407e-01	3.478e-01	8.602e-01	7.166e-01	6.060e-01	2.709e-01	7.157e-01	2.384e-01	-2.254e-01	1.000e+00	1.000e+00	-6.287e-02	6.578e-01	2.514e-01	9.609e-01	5.424e-01	5.165e-01	3.095e-01	7.301e-01	-7.092e-02	1.772e+00	5.976e-02	2.168e-01	-6.632e-01	2.009e+00	4.502e-02	6.416e-01	-2.255e+00	1.909e+00	5.072e-02	5.149e-01	4.786e+00	3.923e-01	3.757e-01	1.000e+00	6.137e-01	8.078e-01	2.037e-01	1.000e+00
Hectd1	941	941	2.229e-01	2.011e+00	3.806e-01	3.216e-01	1.534e+00	7.989e-02	5.517e-01	2.640e+00	6.430e-02	7.199e-01	1.000e+00	2.319e+00	3.636e-01	3.938e-01	1.000e+00	2.839e+00	1.289e-01	6.117e-01	9.730e-01	2.266e-01	-1.966e-01	1.000e+00	1.000e+00	1.017e-01	1.071e+00	1.434e-01	6.054e-01	-2.700e-01	3.925e-02	7.794e-01	1.000e+00	1.567e-02	-6.137e-02	1.000e+00	1.000e+00	-8.951e-02	-1.550e-02	1.000e+00	1.000e+00	2.810e-01	-1.085e-01	1.000e+00	1.000e+00	4.916e-02	-6.833e-02	1.000e+00	1.000e+00	2.550e+00	3.475e+00	8.380e-03	2.990e-01	3.910e+00	1.195e+00	1.221e-01	1.000e+00	-1.652e+00	1.653e+00	6.906e-02	1.000e+00
Snx6	586	586	1.457e-01	1.786e+00	4.739e-01	3.220e-01	1.640e+00	7.016e-02	5.516e-01	3.036e+00	7.773e-01	2.125e-01	1.000e+00	2.953e+00	3.117e-01	4.298e-01	1.000e+00	2.866e+00	1.340e+00	1.016e-01	4.834e-01	9.680e-01	2.458e-01	4.833e-01	9.233e-01	-4.492e-01	-7.468e-02	1.000e+00	1.000e+00	-4.543e-02	5.117e+00	1.378e-03	2.773e-02	-9.113e-01	2.557e+00	2.372e-02	5.795e-01	1.394e+00	2.547e-01	4.754e-01	8.596e-01	3.513e-01	2.876e-01	4.482e-01	7.508e-01	-1.596e-01	2.061e+00	4.234e-02	6.416e-01	3.232e+00	1.833e-01	5.449e-01	9.966e-01	6.068e-01	1.605e+00	7.314e-02	1.000e+00	2.958e+00	2.901e-01	4.462e-01	1.000e+00
Cfl2	1532	1532	3.321e-01	2.383e+00	4.976e-01	3.426e+00	6.454e-01	2.559e-01	8.135e-01	-3.244e-01	2.174e-01	5.097e-01	1.000e+00	9.964e-02	3.119e-01	4.296e-01	1.000e+00	-4.162e-01	1.803e+00	5.760e-02	4.077e-01	2.183e+00	1.166e+00	1.267e-01	7.504e-01	7.669e-01	1.418e-01	5.943e-01	9.542e-01	9.846e-02	2.865e+00	1.668e-02	1.457e-01	-6.133e-01	3.293e-01	4.170e-01	1.000e+00	1.681e+00	1.356e+00	9.959e-02	5.009e-01	-7.538e-01	8.228e-01	1.996e-01	5.076e-01	3.242e-01	-1.187e-01	1.000e+00	1.000e+00	-2.479e-01	1.501e+00	8.312e-02	6.461e-01	2.457e+00	5.374e-01	2.999e-01	1.000e+00	2.239e+00	1.666e-01	5.638e-01	1.000e+00
Nfkbia	745	745	1.208e-01	2.536e+00	4.951e-01	-1.743e+00	3.352e-02	7.957e-01	1.000e+00	5.945e-02	2.810e-01	4.535e-01	1.000e+00	1.738e+00	2.781e+00	1.836e-02	7.848e-01	-3.134e+00	1.203e+00	1.209e-01	5.170e-01	-5.164e-01	9.426e-01	1.698e-01	7.784e-01	2.636e+00	-3.825e-02	1.000e+00	1.000e+00	1.468e-02	1.652e+00	6.909e-02	3.109e-01	-7.835e-01	2.195e-01	5.076e-01	1.000e+00	1.602e-01	6.960e-02	7.091e-01	1.000e+00	-5.424e-01	5.320e+00	1.106e-03	1.288e-02	1.928e+00	3.607e-01	3.957e-01	1.000e+00	2.334e+00	8.176e-02	6.859e-01	1.000e+00	2.275e+00	9.940e-01	1.586e-01	1.000e+00	2.533e+00	1.934e-01	5.340e-01	1.000e+00
Ralgapa1	875	875	1.362e-01	-8.475e-02	1.068e+00	2.086e+00	5.286e-01	3.038e-01	8.371e-01	-1.235e+00	9.442e-02	6.639e-01	1.000e+00	-5.286e-01	-4.687e-01	1.000e+00	1.000e+00	-4.114e-01	3.575e+00	7.500e-03	1.710e-01	-1.743e+00	-1.475e+00	1.000e+00	1.000e+00	3.085e-01	3.959e+00	4.893e-03	1.195e-01	5.753e-01	-1.488e+00	1.000e+00	1.000e+00	7.713e-02	-2.291e-01	1.000e+00	1.000e+00	-4.854e+00	-1.002e-01	1.000e+00	1.000e+00	2.664e-01	5.789e+00	6.670e-04	9.505e-03	-9.755e-01	-1.151e+00	1.000e+00	1.000e+00	2.742e-01	-6.231e-01	1.000e+00	1.000e+00	2.875e-01	-2.211e-01	1.000e+00	1.000e+00	7.606e-01	-8.701e-01	1.000e+00	1.000e+00
Sec23a	912	912	2.092e-01	9.746e-01	9.871e-01	8.789e+00	2.795e-02	8.131e-01	1.000e+00	-8.284e-01	-4.707e-01	1.000e+00	1.000e+00	-5.716e-01	-3.319e-01	1.000e+00	1.000e+00	-5.210e-01	1.627e-01	5.684e-01	9.471e-01	-8.817e-01	-3.293e-01	1.000e+00	1.000e+00	1.964e-01	2.336e+00	3.065e-02	2.688e-01	5.140e-01	1.839e+00	5.516e-02	2.657e-01	-5.333e-01	6.533e-01	2.530e-01	9.609e-01	8.599e-02	-2.127e-01	1.000e+00	1.000e+00	1.405e-01	4.971e-01	3.187e-01	6.606e-01	2.436e-01	-5.750e-02	1.000e+00	1.000e+00	-8.678e-01	4.684e-02	7.595e-01	1.000e+00	3.639e+00	2.042e-01	5.228e-01	1.000e+00	-3.110e-01	-6.082e-02	1.000e+00	1.000e+00
Trappc6b	1932	1932	4.249e-01	3.018e+00	9.666e-01	3.576e+00	-1.205e-02	1.000e+00	1.000e+00	-5.389e-01	1.350e+00	1.003e-01	1.000e+00	2.063e+00	8.407e-01	1.947e-01	1.000e+00	2.089e+00	1.839e-01	5.442e-01	9.448e-01	-5.342e-03	2.018e+00	4.453e-02	5.143e-01	1.366e+00	2.486e+00	2.577e-02	2.592e-01	-5.674e-01	3.220e-01	4.223e-01	7.294e-01	8.725e-02	7.110e-01	2.331e-01	9.609e-01	1.923e+00	-2.927e-01	1.000e+00	1.000e+00	-1.017e-01	5.856e-01	2.792e-01	6.077e-01	4.239e-01	9.958e-01	1.582e-01	9.188e-01	-6.914e-01	3.267e-01	4.189e-01	9.363e-01	1.917e+00	5.476e-01	2.953e-01	1.000e+00	-6.508e-01	5.894e-01	2.776e-01	1.000e+00
Fkbp3	4136	4136	6.440e-01	3.681e+00	1.996e-01	4.748e+00	4.773e-02	7.573e-01	1.000e+00	6.426e-01	2.548e-01	4.753e-01	1.000e+00	1.150e+00	2.950e-01	4.424e-01	1.000e+00	1.303e+00	7.529e-02	6.980e-01	1.000e+00	7.208e-01	7.816e-02	6.926e-01	1.000e+00	5.099e-01	-1.699e-01	1.000e+00	1.000e+00	-5.384e-03	2.475e+00	2.608e-02	1.820e-01	-6.316e-01	2.075e-02	8.386e-01	1.000e+00	8.741e-01	7.538e-02	6.978e-01	1.000e+00	-4.286e-01	1.437e+00	9.005e-02	3.046e-01	6.030e-01	-1.599e-01	1.000e+00	1.000e+00	9.086e-01	7.874e-02	6.915e-01	1.000e+00	7.460e-01	9.290e-02	6.664e-01	1.000e+00	-5.019e-01	3.242e-01	4.207e-01	1.000e+00
Rps29	12611	12611	9.375e-01	4.573e+00	8.101e-01	1.638e+00	1.323e+00	1.038e-01	6.077e-01	-8.715e-01	1.761e-01	5.528e-01	1.000e+00	-9.510e-02	2.446e-01	4.843e-01	1.000e+00	1.328e+00	2.485e+00	2.578e-02	3.149e-01	1.443e+00	-1.176e-01	1.000e+00	1.000e+00	2.268e-01	-7.892e-01	1.000e+00	1.000e+00	5.223e-03	1.525e+00	8.070e-02	3.115e-01	-3.857e-01	2.706e+00	2.001e-02	5.702e-01	1.046e+00	-1.920e-01	1.000e+00	1.000e+00	4.887e-01	-1.595e-01	1.000e+00	1.000e+00	-6.386e-02	1.360e-01	6.019e-01	1.000e+00	1.040e+00	3.003e-02	8.064e-01	1.000e+00	1.020e+00	-4.115e-01	1.000e+00	1.000e+00	1.831e-02	3.441e-01	4.068e-01	1.000e+00
Nemf	546	546	1.198e-01	1.606e+00	9.882e-01	-2.413e+00	-3.563e-01	1.000e+00	1.000e+00	7.039e-01	-5.847e-01	1.000e+00	1.000e+00	4.861e-01	2.545e-02	8.215e-01	1.000e+00	-4.968e-01	1.855e+00	5.408e-02	4.077e-01	1.658e+00	-1.400e-01	1.000e+00	1.000e+00	-7.890e-02	4.132e+00	4.042e-03	1.071e-01	-7.476e-01	6.249e-01	2.636e-01	5.987e-01	-1.504e-01	3.488e-02	7.917e-01	1.000e+00	-1.036e+00	1.718e-01	5.578e-01	9.397e-01	-4.584e-01	2.956e+00	1.503e-02	1.008e-01	1.017e+00	2.282e-01	4.993e-01	1.000e+00	3.167e-01	2.072e+00	4.178e-02	4.763e-01	3.943e+00	2.493e-01	4.801e-01	1.000e+00	3.951e+00	1.039e+00	1.495e-01	1.000e+00
Cdkl1	318	318	6.177e-02	3.634e-01	1.276e-01	2.439e-01	-5.199e-02	1.000e+00	1.000e+00	-2.866e-01	-1.133e-01	1.000e+00	1.000e+00	-3.946e-01	4.584e-01	3.383e-01	1.000e+00	9.874e-01	7.436e-01	2.227e-01	6.686e-01	-3.623e+00	9.497e-01	1.682e-01	7.784e-01	-1.547e+00	1.140e-01	6.330e-01	9.796e-01	-1.069e-01	-2.066e-02	1.000e+00	1.000e+00	-1.359e-02	3.624e-01	3.946e-01	1.000e+00	2.807e+00	8.501e-02	6.801e-01	1.000e+00	3.790e-01	1.436e-01	5.920e-01	8.914e-01	2.887e-01	9.171e-03	8.923e-01	1.000e+00	-2.794e-01	9.145e-02	6.689e-01	1.000e+00	-2.289e-01	5.424e-02	7.419e-01	1.000e+00	-2.737e-02	-1.528e-01	1.000e+00	1.000e+00
Trim9	1243	1243	2.164e-01	5.827e-01	9.701e-01	1.176e+00	7.495e-02	6.986e-01	1.000e+00	2.507e-01	1.012e+00	1.549e-01	1.000e+00	-5.647e+00	3.125e+00	1.242e-02	7.489e-01	-2.265e+00	2.588e-01	4.719e-01	8.819e-01	3.755e+00	2.480e+00	2.595e-02	4.226e-01	-7.632e-01	2.253e+00	3.377e-02	2.732e-01	3.114e-01	1.957e+00	4.789e-02	2.559e-01	-1.881e-01	1.561e+00	7.723e-02	7.576e-01	3.911e+00	1.947e+00	4.844e-02	3.448e-01	4.604e-01	8.443e-01	1.938e-01	5.021e-01	-4.060e-01	8.166e-01	2.013e-01	9.188e-01	4.204e+00	1.169e+00	1.263e-01	7.712e-01	-1.195e+00	1.253e-01	6.166e-01	1.000e+00	-1.372e-01	3.436e-02	7.932e-01	1.000e+00
Timm9	1644	1644	2.601e-01	-6.149e-01	1.304e+00	1.009e+01	4.642e-01	3.353e-01	8.621e-01	1.578e-01	1.197e+00	1.218e-01	1.000e+00	1.642e+00	3.530e-01	4.008e-01	1.000e+00	1.244e-01	1.244e+00	1.148e-01	5.097e-01	2.086e+00	3.718e-01	3.885e-01	8.602e-01	2.514e-01	-2.242e-01	1.000e+00	1.000e+00	-1.121e-01	2.050e+01	1.518e-10	1.298e-08	-1.102e+00	4.576e-01	3.387e-01	9.609e-01	4.979e-01	5.329e+00	1.096e-03	3.749e-02	-1.351e+00	4.161e+01	7.335e-20	1.254e-17	2.243e+00	1.794e+00	5.820e-02	6.416e-01	5.363e+00	3.275e+00	1.049e-02	2.990e-01	2.821e+00	3.441e+00	8.709e-03	7.459e-01	5.278e+00	-4.789e-01	1.000e+00	1.000e+00
Rtn1	14095	14095	8.154e-01	2.351e+00	8.571e-01	4.634e+00	5.000e-01	3.173e-01	8.478e-01	-1.286e+00	5.218e+00	1.236e-03	1.409e-01	2.149e+00	-1.208e+00	1.000e+00	1.000e+00	4.562e-01	-4.614e-02	1.000e+00	1.000e+00	-1.139e+00	7.581e-01	2.182e-01	8.295e-01	3.857e-01	6.895e+00	2.044e-04	1.398e-02	-3.805e-01	2.218e+01	2.730e-11	4.669e-09	-6.920e-01	-6.680e-01	1.000e+00	1.000e+00	-6.836e-01	2.893e-01	4.469e-01	8.466e-01	1.348e-01	4.752e+01	1.863e-22	6.373e-20	1.002e+00	1.518e+00	8.143e-02	7.301e-01	4.041e+00	2.612e+00	2.228e-02	3.810e-01	1.484e+00	-3.062e-01	1.000e+00	1.000e+00	-1.118e+00	-1.782e-02	1.000e+00	1.000e+00
Wdr89	4648	4648	7.020e-01	3.554e+00	2.687e-01	1.773e+00	-2.446e-01	1.000e+00	1.000e+00	2.945e-01	3.495e-01	4.031e-01	1.000e+00	1.397e+00	1.050e+00	1.473e-01	1.000e+00	-1.233e+00	2.024e+00	4.420e-02	4.077e-01	2.101e+00	4.479e-01	3.439e-01	8.602e-01	7.123e-01	5.757e+00	6.909e-04	2.953e-02	-7.080e-01	3.855e-01	3.799e-01	6.948e-01	-2.356e-01	1.879e+00	5.255e-02	6.891e-01	1.785e+00	2.302e-01	4.974e-01	8.814e-01	-3.232e-01	6.590e+00	2.831e-04	4.611e-03	1.030e+00	9.080e-01	1.778e-01	9.188e-01	-1.364e+00	-1.431e-01	1.000e+00	1.000e+00	1.229e+00	5.994e-02	7.292e-01	1.000e+00	1.349e+00	-4.218e-01	1.000e+00	1.000e+00
4930426I24Rik	50	50	9.215e-03	2.753e-01	1.258e-01	-9.702e-01	-4.823e-02	1.000e+00	1.000e+00	-2.081e-01	-3.998e-02	1.000e+00	1.000e+00	-5.907e-02	-1.661e-01	1.000e+00	1.000e+00	4.017e-01	-5.357e-02	1.000e+00	1.000e+00	-3.357e-01	-2.861e-03	1.000e+00	1.000e+00	-5.086e-02	-6.351e-02	1.000e+00	1.000e+00	-6.286e-02	9.827e-03	8.885e-01	1.000e+00	3.509e-01	-5.017e-02	1.000e+00	1.000e+00	-1.638e-01	1.412e-01	5.952e-01	9.543e-01	-5.505e-01	-7.959e-02	1.000e+00	1.000e+00	-5.231e-02	-2.625e-02	1.000e+00	1.000e+00	-7.225e-01	-1.768e-02	1.000e+00	1.000e+00	-1.207e-01	-9.016e-02	1.000e+00	1.000e+00	-2.144e-01	-7.181e-02	1.000e+00	1.000e+00
Sptb	461	461	1.174e-01	2.720e+00	1.291e+00	-4.198e+00	3.288e-01	4.174e-01	9.411e-01	-1.982e+00	-5.370e-01	1.000e+00	1.000e+00	-1.190e+00	5.613e-01	2.894e-01	1.000e+00	3.118e+00	2.085e+00	4.116e-02	4.077e-01	-3.306e+00	-4.294e-02	1.000e+00	1.000e+00	6.416e-01	2.293e+00	3.224e-02	2.689e-01	-7.771e-01	1.474e+00	8.594e-02	3.115e-01	7.839e-01	-2.877e-01	1.000e+00	1.000e+00	2.568e+00	2.197e+00	3.608e-02	3.057e-01	1.883e+00	-1.010e+00	1.000e+00	1.000e+00	1.039e-01	-1.908e-01	1.000e+00	1.000e+00	-1.962e+00	-3.642e-01	1.000e+00	1.000e+00	-1.902e+00	-6.240e-01	1.000e+00	1.000e+00	-1.207e+00	-5.616e-01	1.000e+00	1.000e+00
Atp6v1d	3249	3249	5.710e-01	3.194e+00	1.666e-01	4.784e+00	1.667e-01	5.636e-01	1.000e+00	9.526e-01	1.828e-01	5.454e-01	1.000e+00	1.271e+00	3.988e-01	3.718e-01	1.000e+00	1.661e+00	6.979e-02	7.087e-01	1.000e+00	-2.211e-01	5.759e-01	2.832e-01	8.295e-01	-6.769e-01	2.494e-01	4.801e-01	8.650e-01	1.531e-01	2.459e-01	4.831e-01	7.906e-01	-2.118e-01	3.113e-01	4.301e-01	1.000e+00	-9.929e-01	2.079e-01	5.191e-01	9.049e-01	5.392e-01	-6.314e-02	1.000e+00	1.000e+00	8.645e-02	5.215e-02	7.467e-01	1.000e+00	1.071e+00	-2.469e-02	1.000e+00	1.000e+00	9.634e-01	-2.548e-02	1.000e+00	1.000e+00	1.085e+00	-7.574e-02	1.000e+00	1.000e+00
Vti1b	2894	2894	4.986e-01	1.237e+00	9.234e-01	5.214e+00	1.892e+00	5.177e-02	4.410e-01	6.739e-01	3.677e-01	3.912e-01	9.133e-01	9.194e-01	1.526e+00	8.069e-02	9.053e-01	9.619e-01	7.158e-01	2.315e-01	6.016e-01	7.560e-01	1.288e-01	6.118e-01	8.718e-01	1.032e-01	1.706e+00	6.469e-02	3.544e-01	-2.552e-01	5.716e+00	7.221e-04	1.074e-02	-4.602e-01	5.078e-01	3.136e-01	8.313e-01	7.934e-01	7.112e-01	2.330e-01	7.499e-01	2.213e-01	6.420e+00	3.392e-04	5.524e-03	6.447e-01	5.325e-01	3.021e-01	8.637e-01	1.925e-01	-1.516e-01	1.000e+00	1.000e+00	1.310e+00	-2.407e-01	1.000e+00	1.000e+00	-1.784e-01	1.553e+00	7.804e-02	8.342e-01
